Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
73,52.00,46.75,41.50,51.00,53.25,39.00,0.00,0,0,1,0,"359
"
74,52.25,46.75,41.50,51.00,53.25,39.25,0.00,0,0,0,0,"359
"
75,52.25,47.00,41.25,51.00,53.25,39.25,0.00,0,1,1,1,"359
"
76,52.25,47.25,41.00,51.25,53.50,38.75,0.00,1,0,0,0,"360
"
77,52.50,46.75,41.00,50.75,53.50,39.50,0.00,0,1,0,1,"358
"
78,52.50,49.25,41.25,51.25,54.25,39.50,0.00,0,1,0,0,"358
"
79,52.75,48.75,40.75,51.50,53.75,39.25,0.00,0,1,0,1,"358
"
80,52.75,48.50,41.00,51.75,54.00,39.25,0.00,0,0,1,0,"359
"
81,52.50,48.00,40.75,51.50,53.50,39.25,0.00,1,1,0,1,"358
"
82,53.00,48.00,40.75,51.25,54.25,39.25,0.00,0,1,0,1,"358
"
83,52.75,47.75,40.75,51.75,54.50,39.50,0.00,0,1,0,0,"358
"
84,53.50,48.00,41.00,52.00,54.50,39.25,0.00,1,0,0,0,"358
"
85,53.50,52.50,41.25,51.50,54.75,39.25,0.00,1,1,1,1,"358
"
86,53.00,52.75,41.00,51.75,54.75,39.25,0.00,0,1,0,0,"358
"
87,53.25,52.75,40.00,51.50,54.50,38.50,0.00,0,1,0,0,"358
"
88,53.00,52.75,40.75,52.25,55.00,39.00,0.00,0,1,0,1,"358
"
89,53.50,52.50,40.75,52.00,55.00,39.00,0.00,1,0,0,1,"357
"
90,53.25,52.75,40.75,52.25,54.75,38.75,0.00,1,1,0,0,"358
"
91,53.75,56.00,40.50,52.50,55.25,39.00,0.00,1,1,0,1,"358
"
92,53.25,55.00,40.75,52.50,55.25,39.00,0.00,1,1,0,1,"358
"
93,53.75,54.75,40.25,52.75,55.50,38.75,0.00,1,1,0,1,"358
"
94,53.75,55.00,40.25,52.50,55.50,39.00,0.00,0,1,0,1,"357
"
95,53.75,54.75,40.50,52.75,55.75,39.00,0.00,0,1,0,0,"357
"
96,53.50,54.50,40.50,52.75,56.25,39.00,0.00,1,0,0,0,"357
"
97,54.00,54.25,40.00,53.00,55.25,39.00,0.00,1,0,0,1,"357
"
98,53.25,52.00,40.75,52.25,55.75,38.75,0.00,0,0,1,0,"357
"
99,54.25,54.50,40.50,52.75,56.00,38.75,0.00,0,0,0,0,"357
"
100,53.75,54.75,40.00,53.00,56.25,38.75,0.00,1,1,0,1,"357
"
101,54.25,53.25,40.50,52.75,56.25,38.00,0.00,1,1,0,1,"357
"
102,54.25,53.25,40.25,53.25,56.25,38.25,0.00,1,1,1,1,"357
"
103,54.25,54.00,40.50,53.00,56.75,38.75,0.00,0,1,1,1,"357
"
104,54.50,54.00,40.25,53.25,56.75,38.50,0.00,1,0,0,1,"357
"
105,54.50,54.25,40.25,53.00,56.75,37.75,0.00,1,0,0,0,"356
"
106,54.25,54.50,40.00,53.50,56.50,38.50,0.00,0,0,0,0,"357
"
107,54.75,54.25,40.00,53.50,56.75,38.75,0.00,0,1,0,1,"357
"
108,55.00,54.00,40.25,53.25,56.50,38.75,0.00,0,1,0,1,"357
"
109,4.50,54.00,40.25,53.50,56.75,38.25,0.00,0,1,1,1,"356
"
110,55.00,54.25,40.25,53.25,57.25,38.25,0.00,0,1,0,0,"356
"
111,54.75,54.00,39.75,53.75,57.25,38.25,0.00,0,1,0,1,"356
"
112,54.50,54.50,40.00,53.75,57.00,38.25,0.00,0,0,0,0,"356
"
113,54.75,54.25,40.00,53.75,57.50,38.25,0.00,0,1,0,0,"356
"
114,54.75,54.50,39.75,53.75,57.50,38.25,0.00,0,0,0,0,"356
"
115,55.00,54.50,40.25,54.00,57.25,38.25,0.00,0,1,0,1,"356
"
116,55.25,54.75,39.50,54.00,57.75,38.25,0.00,1,1,0,1,"356
"
117,55.50,54.25,40.00,54.00,57.50,38.25,0.00,0,1,1,1,"356
"
118,55.50,54.75,40.00,53.75,57.50,38.25,0.00,1,0,0,0,"356
"
119,55.00,54.50,40.00,54.00,57.75,38.25,0.00,0,0,1,0,"356
"
120,55.75,54.25,39.25,53.75,57.25,38.00,0.00,0,0,1,1,"356
"
121,55.25,54.50,39.50,54.50,58.00,38.25,0.00,0,1,0,0,"356
"
122,55.50,54.50,40.00,54.00,58.00,38.50,0.00,1,1,1,1,"356
"
123,55.75,54.50,40.00,54.50,58.25,38.50,0.00,0,1,1,1,"356
"
124,55.50,54.75,39.50,54.75,58.00,38.00,0.00,1,1,0,1,"356
"
125,55.50,55.00,39.50,54.75,58.50,38.00,0.00,0,1,0,1,"356
"
126,55.75,54.75,39.75,54.75,58.50,38.00,0.00,0,0,0,0,"356
"
127,55.75,54.25,39.25,54.25,58.50,38.00,0.00,1,0,0,0,"356
"
128,56.00,54.75,39.25,54.75,58.50,38.00,0.00,0,1,0,1,"356
"
129,56.25,55.25,39.75,54.50,58.75,38.25,0.00,0,1,0,1,"356
"
130,56.00,55.00,39.75,55.00,58.25,38.00,0.00,1,0,1,0,"355
"
131,56.00,55.50,39.50,55.25,58.75,37.75,0.00,0,0,0,0,"355
"
132,56.25,55.00,39.25,55.25,58.25,38.00,0.00,0,0,0,0,"355
"
133,56.25,54.75,39.50,55.00,58.75,38.00,0.00,0,1,0,1,"355
"
134,56.25,55.00,39.50,55.50,58.75,37.75,0.00,1,1,0,1,"355
"
135,56.50,55.25,39.25,55.50,59.00,37.50,0.00,1,0,0,1,"355
"
136,56.50,54.75,39.25,55.25,58.75,38.00,0.00,0,0,0,0,"355
"
137,56.50,55.00,39.25,55.25,58.50,38.00,0.00,0,0,0,1,"354
"
138,56.75,55.00,39.50,55.25,59.25,38.25,0.00,0,1,0,1,"355
"
139,56.75,55.50,39.00,55.00,58.25,38.00,0.00,0,1,1,1,"355
"
140,57.00,55.00,39.00,55.50,59.25,37.75,0.00,1,1,1,0,"355
"
141,56.75,54.75,39.50,55.50,59.50,38.00,0.00,0,1,0,1,"355
"
142,56.75,55.00,39.00,55.75,59.50,38.00,0.00,1,1,0,1,"355
"
143,.75,55.50,39.25,55.75,59.50,38.00,0.00,0,1,0,1,"355
"
144,57.00,55.00,39.50,55.75,59.50,38.00,0.00,1,1,1,1,"355
"
145,56.75,55.50,39.25,55.75,59.50,37.75,0.00,0,0,0,0,"355
"
146,57.00,55.25,39.25,56.25,59.50,38.00,0.00,1,1,1,1,"355
"
