Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
0,52.25,50.50,48.50,46.50,49.75,47.50,0.00,1,1,0,1,"457
"
1,51.50,49.25,49.00,45.50,49.25,47.00,0.00,1,0,0,0,"442
"
2,52.25,49.75,48.50,45.75,49.25,47.25,0.00,0,0,1,1,"423
"
3,51.50,50.00,49.25,46.25,49.25,47.25,0.00,1,1,0,1,"411
"
4,52.25,50.00,49.00,46.00,49.50,47.00,0.00,1,0,0,0,"403
"
5,52.25,50.00,49.25,46.50,49.25,47.25,0.00,0,0,0,1,"397
"
6,52.50,50.00,48.75,46.75,49.25,47.25,0.00,1,0,0,1,"392
"
7,53.00,50.25,49.25,47.00,49.50,47.25,0.00,0,1,0,0,"389
"
8,53.00,50.25,49.25,46.75,49.25,47.00,0.00,1,1,1,1,"387
"
9,52.75,50.25,48.75,46.75,49.75,47.00,0.00,0,1,1,1,"385
"
10,53.00,50.00,49.50,47.00,49.75,47.00,0.00,0,0,0,0,"384
"
11,52.75,50.50,49.00,46.50,49.75,47.00,0.00,0,0,0,0,"384
"
12,53.25,50.75,49.25,47.25,50.00,46.50,0.00,1,1,0,1,"383
"
13,53.00,50.25,49.25,47.25,49.75,47.00,0.00,1,0,0,0,"383
"
14,53.25,50.50,48.75,47.25,50.00,46.75,0.00,1,0,0,1,"382
"
15,53.25,50.25,49.00,47.00,50.00,46.75,0.00,1,0,0,1,"382
"
16,53.25,50.25,49.00,47.50,50.00,46.75,0.00,0,1,0,1,"382
"
17,53.50,50.50,48.75,47.00,50.00,46.50,0.00,1,1,0,1,"381
"
18,53.50,50.25,48.75,47.00,50.25,47.00,0.00,0,1,0,0,"381
"
19,53.75,50.50,49.00,47.75,49.75,46.00,0.00,1,0,0,0,"381
"
20,53.50,50.50,49.00,47.50,50.25,46.75,0.00,0,1,1,1,"381
"
21,54.00,50.25,49.00,47.50,50.25,46.75,0.00,1,1,0,1,"381
"
22,53.75,50.00,48.75,48.00,50.25,46.25,0.00,1,0,0,0,"381
"
23,54.25,50.00,48.75,48.00,50.50,46.25,0.00,1,1,0,1,"380
"
24,54.50,50.25,48.75,47.50,51.00,45.75,0.00,0,1,1,1,"380
"
25,54.25,50.75,49.00,48.00,50.00,45.75,0.00,0,1,0,0,"380
"
26,54.75,50.50,48.75,48.25,49.75,46.25,0.00,0,0,0,0,"380
"
27,55.00,50.00,48.50,48.25,50.75,46.00,0.00,0,0,0,0,"379
"
28,55.00,50.75,48.50,48.25,51.00,45.25,0.00,0,1,1,1,"379
"
29,54.75,50.50,48.00,48.75,50.75,46.00,0.00,1,1,0,1,"379
"
30,55.50,50.50,48.50,48.25,51.00,45.75,0.00,1,0,0,0,"379
"
31,55.25,50.50,48.25,48.75,50.50,45.75,0.00,0,1,1,1,"379
"
32,55.25,50.75,47.75,48.75,51.00,45.75,0.00,0,0,0,0,"378
"
33,55.00,50.50,47.75,49.00,51.50,45.50,0.00,1,1,0,1,"378
"
34,55.50,50.25,48.00,49.00,51.50,45.25,0.00,1,1,0,0,"378
"
35,55.75,50.50,47.75,49.00,51.00,45.00,0.00,1,0,0,1,"378
"
36,56.00,50.75,48.00,49.50,51.25,45.00,0.00,1,1,0,1,"378
"
37,56.00,50.75,47.75,48.50,51.75,45.00,0.00,0,1,1,1,"377
"
38,56.25,50.50,47.75,49.00,51.50,45.25,0.00,0,0,1,0,"378
"
39,56.25,50.50,47.25,49.50,51.75,45.00,0.00,1,1,0,1,"377
"
40,56.25,50.75,48.00,49.25,51.50,44.75,0.00,1,0,0,0,"377
"
41,56.75,51.00,47.25,49.75,51.50,45.00,0.00,0,0,1,1,"377
"
42,56.50,50.50,47.50,49.50,52.00,44.75,0.00,1,0,0,0,"377
"
43,56.75,50.50,47.25,50.00,51.75,44.25,0.00,0,1,1,1,"377
"
44,57.00,50.75,47.50,49.50,51.75,44.75,0.00,0,0,0,0,"377
"
45,57.00,50.50,46.50,50.00,51.25,44.50,0.00,0,1,1,1,"376
"
46,57.00,50.50,47.00,50.00,51.75,44.75,0.00,0,1,0,0,"376
"
47,57.00,50.25,46.50,50.50,52.00,44.50,0.00,0,1,1,1,"376
"
48,57.00,50.50,46.75,50.25,51.75,44.25,0.00,0,0,0,1,"376
"
49,57.25,50.50,46.50,50.50,51.50,44.25,0.00,0,1,0,1,"376
"
50,57.50,50.25,46.75,50.25,52.50,43.50,0.00,0,1,0,0,"375
"
51,57.50,50.25,46.50,50.75,52.50,43.75,0.00,0,0,0,0,"376
"
52,58.00,50.00,45.50,50.50,52.00,43.75,0.00,0,1,0,0,"376
"
53,57.75,50.50,46.25,51.00,52.25,44.00,0.00,0,0,0,0,"376
"
54,58.00,50.25,45.75,50.75,52.50,43.50,0.00,1,0,0,1,"375
"
55,58.25,50.25,45.50,51.25,52.50,43.00,0.00,0,0,1,1,"375
"
56,58.25,50.50,45.75,50.75,52.75,43.00,0.00,1,1,0,0,"375
"
57,58.50,50.25,45.50,51.25,52.75,43.50,0.00,1,1,0,0,"375
"
58,58.75,50.00,46.00,51.25,53.00,43.50,0.00,0,0,0,1,"374
"
59,58.75,50.50,45.75,51.00,53.00,43.25,0.00,1,1,0,0,"375
"
60,58.00,50.25,45.00,51.50,52.75,43.25,0.00,0,0,0,1,"374
"
61,58.75,50.25,45.50,51.75,53.00,43.00,0.00,1,0,0,1,"374
"
62,58.25,50.50,45.50,51.50,53.00,42.75,0.00,1,1,1,1,"374
"
63,59.25,50.50,45.25,51.75,53.25,42.75,0.00,0,1,0,1,"374
"
64,59.25,50.00,44.75,52.00,53.25,42.25,0.00,1,0,0,1,"374
"
65,59.25,50.50,45.00,52.00,53.25,42.50,0.00,1,1,0,1,"374
"
66,59.50,50.25,45.50,51.75,53.25,42.75,0.00,0,0,0,1,"373
"
67,59.50,50.25,45.00,52.00,53.00,42.25,0.00,1,1,0,0,"374
"
68,59.50,50.25,45.00,51.75,53.50,42.75,0.00,1,0,0,1,"373
"
69,59.75,50.25,45.00,52.25,53.25,42.25,0.00,1,1,0,0,"374
"
70,59.75,50.25,44.50,52.75,53.25,42.50,0.00,0,0,0,1,"373
"
71,59.50,50.50,44.25,52.50,53.75,42.50,0.00,0,1,0,0,"374
"
72,59.75,49.75,44.25,52.50,53.50,42.50,0.00,1,0,0,1,"373
"
73,59.50,50.25,44.75,52.50,53.75,41.50,0.00,0,1,0,0,"373
"
74,59.75,50.25,44.50,52.50,53.75,42.25,0.00,0,0,0,0,"373
"
75,60.25,49.75,44.00,52.75,53.75,42.25,0.00,0,0,1,0,"373
"
76,60.00,50.25,44.00,52.75,53.75,42.00,0.00,1,1,0,0,"373
"
77,60.50,50.00,44.25,52.50,53.75,42.00,0.00,0,0,0,0,"372
"
78,60.50,50.00,44.25,53.00,54.00,41.75,0.00,0,1,1,1,"372
"
79,60.50,49.75,43.50,53.25,53.75,42.00,0.00,0,0,0,0,"373
"
80,60.75,50.00,43.25,53.25,53.50,41.75,0.00,1,0,0,0,"373
"
81,60.75,49.50,43.25,53.00,54.00,41.50,0.00,0,0,1,1,"373
"
82,60.75,50.00,43.25,53.50,54.00,41.50,0.00,1,1,0,0,"373
"
83,61.00,49.75,42.75,53.25,54.00,41.50,0.00,0,0,0,1,"372
"
84,61.25,50.00,43.50,53.75,53.75,41.50,0.00,0,0,0,0,"372
"
85,61.00,50.00,43.25,53.75,53.75,41.50,0.00,1,1,0,0,"372
"
86,61.50,50.25,43.00,53.75,54.00,41.25,0.00,1,1,0,1,"372
"
87,61.50,49.50,43.00,53.75,54.50,41.25,0.00,0,0,1,1,"372
"
88,61.00,50.00,43.25,54.00,54.25,40.75,0.00,1,1,0,0,"371
"
89,61.50,49.75,43.00,53.75,54.75,41.00,0.00,0,0,0,0,"372
"
90,61.75,49.50,42.75,53.50,54.50,41.25,0.00,0,0,0,0,"372
"
91,61.75,50.00,43.00,54.25,54.50,41.00,0.00,0,1,0,0,"372
"
92,61.75,49.50,43.00,54.50,54.75,40.75,0.00,0,1,0,1,"371
"
93,62.25,49.50,42.75,54.25,54.75,41.00,0.00,0,1,0,1,"371
"
94,61.75,49.75,42.25,54.50,54.75,40.50,0.00,0,0,0,1,"371
"
95,61.50,49.25,42.50,54.50,55.00,40.75,0.00,0,0,0,1,"371
"
96,61.75,49.75,42.50,54.50,54.75,40.50,0.00,0,0,1,1,"371
"
97,62.25,49.75,42.50,54.75,55.00,40.75,0.00,0,1,1,0,"372
"
98,62.25,49.75,42.50,54.75,55.25,40.75,0.00,1,1,1,0,"371
"
99,62.00,49.50,42.25,54.75,55.00,40.75,0.00,0,1,0,0,"371
"
100,62.50,49.75,42.00,55.25,55.25,40.50,0.00,0,1,0,0,"371
"
101,62.75,49.50,42.50,55.00,55.25,40.25,0.00,1,0,0,0,"371
"
102,63.00,49.25,42.00,55.25,55.25,40.25,0.00,0,0,0,0,"370
"
103,62.50,49.00,42.00,55.25,55.25,40.50,0.00,0,1,1,0,"371
"
104,62.50,49.25,41.75,55.00,54.75,40.25,0.00,0,1,0,0,"371
"
105,63.00,49.00,41.75,55.25,55.00,40.25,0.00,1,1,0,1,"370
"
106,63.00,49.50,42.00,55.00,55.25,40.25,0.00,1,0,1,1,"371
"
107,63.00,49.50,42.00,55.25,55.75,40.00,0.00,0,0,0,0,"371
"
108,63.00,49.50,42.00,55.75,54.75,40.00,0.00,0,0,0,1,"371
"
109,62.75,49.00,42.00,55.00,55.50,39.50,0.00,0,0,0,0,"371
"
110,63.25,49.25,41.25,55.75,55.75,39.75,0.00,1,0,1,1,"371
"
111,63.50,49.50,41.75,55.75,55.75,39.75,0.00,0,1,0,1,"370
"
112,63.50,49.25,41.75,55.50,55.50,39.50,0.00,1,1,0,1,"370
"
113,63.25,49.25,41.75,56.00,55.00,39.25,0.00,1,0,1,1,"370
"
114,62.75,49.00,41.75,55.50,55.75,39.75,0.00,0,1,0,0,"370
"
115,63.75,49.00,41.50,56.25,56.00,39.00,0.00,0,1,0,0,"370
"
116,63.25,49.25,41.25,56.00,56.00,39.50,0.00,0,1,0,0,"370
"
117,63.75,49.00,41.50,56.00,56.25,39.50,0.00,1,0,0,0,"371
"
118,63.50,48.75,41.25,56.25,56.00,39.50,0.00,1,0,0,1,"370
"
119,63.75,49.25,41.25,56.25,56.00,39.75,0.00,0,1,1,1,"370
"
120,64.00,48.75,41.25,56.25,56.00,39.00,0.00,1,1,0,0,"370
"
121,64.00,49.00,41.25,56.25,56.75,39.00,0.00,1,0,0,1,"370
"
122,64.00,49.25,41.25,56.00,56.25,39.50,0.00,0,0,0,0,"370
"
123,64.00,48.75,41.00,56.75,56.00,39.25,0.00,0,1,0,0,"369
"
124,63.75,49.00,41.00,56.75,56.25,39.50,0.00,0,1,0,0,"370
"
125,64.50,49.25,41.00,56.75,56.75,39.50,0.00,1,0,1,0,"370
"
126,63.75,49.00,40.75,56.75,56.50,39.50,0.00,0,0,0,0,"370
"
127,64.50,49.25,40.75,56.50,56.50,39.50,0.00,0,0,0,1,"369
"
128,64.00,49.25,41.00,57.00,56.25,38.75,0.00,0,1,0,1,"369
"
129,64.25,49.00,41.00,56.75,56.75,39.00,0.00,0,0,0,0,"370
"
130,64.50,49.00,40.50,56.75,57.00,39.25,0.00,0,0,1,1,"369
"
131,64.50,48.75,40.50,57.25,56.50,38.50,0.00,0,0,0,1,"369
"
132,64.50,49.25,40.75,57.00,56.50,39.00,0.00,0,0,1,1,"369
"
133,64.75,49.25,40.75,57.00,56.75,38.75,0.00,0,0,0,1,"369
"
134,65.00,48.75,40.50,57.50,57.25,38.75,0.00,1,0,0,0,"369
"
135,65.00,49.00,40.75,57.50,57.00,38.75,0.00,0,0,0,0,"368
"
136,64.50,49.25,40.75,57.50,57.00,39.00,0.00,0,1,0,0,"368
"
137,65.00,49.00,40.75,57.25,57.50,39.00,0.00,0,1,0,0,"367
"
138,65.25,49.00,40.75,57.75,57.50,38.75,0.00,0,1,0,0,"370
"
139,64.75,48.50,40.75,57.25,57.50,39.00,0.00,0,1,0,0,"368
"
140,65.25,49.00,40.75,57.75,58.00,39.25,0.00,1,0,0,1,"368
"
141,64.75,49.75,40.50,58.00,58.00,39.25,0.00,0,0,1,1,"368
"
142,64.50,49.50,41.00,58.00,57.75,39.25,0.00,1,0,0,1,"368
"
143,65.50,49.75,39.75,57.75,58.00,39.00,0.00,0,0,0,1,"368
"
144,65.25,49.25,40.75,58.50,58.25,39.25,0.00,0,1,0,0,"367
"
145,65.25,49.25,40.25,58.50,58.25,39.00,0.00,1,0,0,0,"368
"
146,65.75,49.75,40.75,58.75,58.25,38.75,0.00,0,0,0,0,"368
"
147,65.75,49.50,40.25,58.50,57.75,39.25,0.00,0,0,0,1,"367
"
148,65.50,49.50,40.50,58.00,58.00,39.00,0.00,0,1,0,0,"367
"
149,66.00,48.75,40.50,58.50,58.00,38.75,0.00,0,1,0,0,"365
"
