Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
150,66.00,49.00,40.75,58.00,58.25,39.00,0.00,0,1,0,0,"367
"
151,66.00,49.25,40.00,58.75,58.25,38.75,0.00,0,1,0,0,"367
"
152,66.00,49.50,40.50,58.50,58.25,39.00,0.00,0,1,0,0,"366
"
153,65.50,49.50,40.75,59.00,58.50,39.25,0.00,0,1,0,0,"367
"
154,65.50,49.50,40.50,58.50,58.75,38.75,0.00,0,1,0,0,"365
"
155,65.75,49.00,40.50,59.00,58.75,39.25,0.00,0,1,0,1,"366
"
156,66.00,49.50,40.25,59.00,58.50,39.00,0.00,1,0,1,1,"366
"
157,66.25,48.75,40.25,58.50,58.75,38.50,0.00,1,0,1,1,"366
"
158,66.00,49.50,40.00,59.25,59.25,38.25,0.00,0,0,0,1,"366
"
159,66.25,49.00,40.50,59.50,59.00,38.50,0.00,0,0,1,1,"366
"
160,66.25,48.75,40.50,59.50,58.75,38.25,0.00,0,0,1,1,"366
"
161,66.25,49.25,40.25,59.25,59.25,38.25,0.00,0,1,0,1,"366
"
162,66.00,49.25,40.50,59.25,59.25,39.00,0.00,1,0,0,0,"366
"
163,66.00,49.25,40.50,59.25,59.50,38.25,0.00,1,0,0,0,"365
"
164,66.25,49.25,40.25,59.50,59.25,38.50,0.00,0,0,0,1,"365
"
165,66.00,49.25,40.00,59.75,59.75,38.75,0.00,0,0,0,0,"366
"
166,65.75,49.25,40.25,59.75,59.25,38.75,0.00,0,0,0,1,"365
"
167,66.00,49.25,40.50,59.75,59.25,38.25,0.00,0,1,0,0,"365
"
168,66.00,49.25,40.25,59.50,59.75,38.50,0.00,0,1,0,0,"365
"
169,66.25,49.25,40.50,60.25,59.75,38.50,0.00,0,1,0,0,"365
"
170,66.00,49.25,40.00,59.75,60.25,38.50,0.00,0,1,0,0,"365
"
171,65.50,49.25,40.00,59.50,60.25,38.50,0.00,0,0,0,0,"365
"
172,65.75,49.00,40.50,60.00,60.50,38.50,0.00,0,1,0,0,"365
"
173,66.25,48.75,40.25,59.50,60.00,38.50,0.00,0,1,0,1,"364
"
174,66.50,48.50,40.25,60.25,60.50,38.50,0.00,0,1,0,0,"364
"
175,66.50,48.75,40.25,60.25,60.25,38.50,0.00,0,0,0,1,"364
"
176,66.50,48.75,40.00,60.25,60.00,38.50,0.00,1,0,0,1,"364
"
177,66.50,48.25,40.00,60.25,60.25,38.50,0.00,0,0,0,0,"364
"
178,66.25,48.75,39.75,60.25,59.25,38.50,0.00,1,1,0,1,"364
"
179,66.75,48.00,40.00,60.50,60.00,38.50,0.00,0,0,0,1,"364
"
180,67.25,48.50,39.50,60.50,59.75,38.50,0.00,0,0,0,0,"364
"
181,66.75,48.75,39.50,60.25,60.25,38.50,0.00,0,0,0,0,"363
"
182,66.75,48.25,40.25,60.25,60.25,38.50,0.00,0,0,0,0,"364
"
183,66.75,48.00,40.00,60.25,60.50,38.50,0.00,0,0,0,1,"363
"
184,66.75,48.25,39.25,60.25,60.50,38.50,0.00,0,1,0,0,"364
"
185,66.75,48.50,40.00,60.25,60.25,38.50,0.00,0,1,0,0,"364
"
186,67.00,48.00,39.75,60.50,60.75,38.50,0.00,0,0,0,1,"363
"
187,67.00,48.00,40.00,60.75,60.75,38.50,0.00,0,1,0,0,"364
"
188,67.00,48.50,40.00,60.75,60.25,38.50,0.00,0,1,0,0,"364
"
189,,48.50,40.00,60.75,60.25,38.50,0.00,0,0,0,1,"363
"
189,66.75,48.25,39.75,60.75,60.50,38.50,0.00,0,0,0,0,"363
"
190,67.00,47.75,40.00,60.75,60.50,38.50,0.00,0,0,0,0,"363
"
191,67.25,48.00,40.00,60.00,61.00,38.50,0.00,0,0,0,0,"364
"
192,66.75,48.25,40.00,60.50,60.50,38.50,0.00,0,1,0,0,"363
"
193,67.00,47.75,39.50,60.50,60.75,38.50,0.00,0,1,0,0,"363
"
194,67.00,47.75,40.00,60.50,61.00,38.50,0.00,0,1,0,0,"363
"
195,67.00,48.25,40.00,60.75,61.25,38.50,0.00,0,1,0,0,"362
"
196,66.50,48.25,39.50,60.50,61.50,38.50,0.00,1,0,0,0,"361
"
197,66.75,48.00,39.75,61.00,61.25,38.50,0.00,0,0,0,0,"362
"
198,66.75,47.50,40.00,61.00,61.25,38.50,0.00,0,1,0,1,"365
"
199,67.25,48.25,39.50,60.75,61.00,38.50,0.00,0,0,0,1,"362
"
200,67.00,48.00,40.00,60.75,61.25,38.50,0.00,0,0,0,1,"362
"
201,67.25,48.25,39.50,61.50,61.25,38.50,0.00,0,0,0,1,"362
"
202,67.00,48.25,39.50,61.25,61.75,38.50,0.00,0,0,0,1,"363
"
203,67.00,48.25,39.75,61.50,61.50,38.50,0.00,0,0,0,1,"362
"
204,67.25,48.25,39.75,61.50,61.50,38.50,0.00,0,0,0,1,"362
"
205,67.00,47.75,39.75,61.25,61.75,38.50,0.00,0,1,1,1,"362
"
206,67.25,48.25,40.00,61.00,62.00,38.50,0.00,0,1,1,1,"362
"
207,67.00,48.00,39.75,61.50,61.25,38.50,0.00,1,0,0,1,"362
"
208,67.00,48.25,39.25,61.50,61.75,38.50,0.00,1,0,0,0,"362
"
209,67.00,47.50,40.00,61.50,62.00,38.50,0.00,0,0,0,0,"362
"
210,66.25,48.00,39.25,61.25,61.50,38.50,0.00,0,0,0,0,"362
"
211,66.75,48.00,39.50,61.75,62.25,38.50,0.00,0,1,0,0,"362
"
212,67.25,47.75,39.75,61.25,62.00,38.50,0.00,0,1,0,0,"362
"
213,67.25,48.00,39.75,61.00,62.25,38.50,0.00,0,0,0,0,"362
"
214,67.25,47.75,39.50,61.75,62.25,38.50,0.00,0,0,1,1,"361
"
215,67.50,48.25,39.75,61.75,62.25,38.50,0.00,0,0,0,1,"361
"
216,67.00,47.75,39.50,61.75,62.00,38.50,0.00,0,0,0,1,"361
"
217,67.25,48.00,39.75,61.50,62.00,38.50,0.00,0,0,1,1,"361
"
218,66.75,48.00,39.50,61.75,62.00,38.50,0.00,1,0,0,1,"360
"
219,67.00,47.50,39.75,62.00,62.00,38.50,0.00,0,0,0,0,"360
"
220,67.25,47.50,39.75,62.00,62.50,38.50,0.00,0,1,0,0,"361
"
221,67.00,47.25,39.00,62.00,62.25,38.50,0.00,0,1,0,0,"361
"
222,67.25,47.00,39.75,62.25,62.50,38.50,0.00,0,1,0,1,"360
"
223,67.50,47.50,39.50,61.25,62.25,38.50,0.00,0,1,0,1,"361
"
224,67.25,47.25,39.50,62.00,62.25,38.50,0.00,0,1,1,0,"361
"
225,67.00,47.25,39.75,62.00,62.50,38.50,0.00,1,0,0,1,"361
"
226,66.75,47.25,39.75,61.75,62.50,63.00,0.00,0,1,0,0,"360
"
227,67.50,47.25,39.50,62.00,62.75,32.50,0.00,0,1,0,0,"360
"
228,66.50,47.25,39.75,62.00,62.00,32.50,0.00,0,1,0,0,"360
"
229,67.25,47.00,39.50,62.25,62.50,32.50,0.00,0,1,0,1,"360
"
230,67.25,47.25,39.00,62.00,62.25,0.00,0.00,0,1,0,0,"361
"
231,67.50,47.50,39.75,62.50,62.50,0.00,0.00,0,1,0,0,"361
"
232,67.00,47.00,39.75,62.50,62.50,0.00,0.00,0,1,0,0,"361
"
233,67.25,47.00,39.75,62.25,63.00,0.00,0.00,1,0,0,1,"361
"
234,67.00,47.00,39.25,62.50,63.00,0.00,0.00,0,0,0,0,"360
"
235,67.25,47.00,39.50,62.25,63.00,0.00,0.00,0,0,0,0,"360
"
236,67.25,47.00,40.00,62.50,62.50,0.00,0.00,0,1,0,0,"360
"
237,66.75,46.75,39.75,62.50,63.00,0.00,0.00,0,0,0,0,"361
"
238,67.00,47.00,39.75,62.00,63.25,0.00,0.00,0,1,0,1,"360
"
239,66.75,46.50,39.50,63.25,63.00,0.00,0.00,0,1,0,0,"365
"
240,67.25,47.25,39.75,62.50,62.75,32.50,0.00,0,1,0,0,"359
"
241,66.75,47.00,39.50,62.75,63.25,32.50,0.00,1,0,1,1,"359
"
242,66.75,46.75,39.75,62.75,63.00,152.00,0.00,1,0,0,1,"359
"
243,67.50,46.75,38.75,62.75,63.25,152.00,0.00,1,0,1,1,"360
"
244,66.75,47.00,39.25,62.50,63.00,152.00,0.00,1,0,0,1,"360
"
245,67.25,47.00,39.75,62.75,63.00,152.00,0.00,0,0,0,1,"360
"
246,67.25,46.75,39.75,62.75,63.25,152.00,0.00,0,0,0,1,"360
"
247,67.25,46.50,39.50,62.50,63.25,152.00,0.00,0,0,0,1,"360
"
248,67.50,46.75,39.50,63.00,63.25,152.00,0.00,0,0,0,1,"360
"
249,67.50,46.75,39.75,62.75,63.50,152.00,0.00,0,0,0,1,"360
"
250,67.25,46.50,39.75,62.50,62.50,152.00,0.00,0,0,0,1,"359
"
251,67.50,46.50,40.00,62.75,63.25,152.00,0.00,0,0,1,1,"360
"
252,67.25,46.75,39.50,63.00,63.00,152.00,0.00,0,1,0,0,"360
"
253,67.50,46.75,39.50,63.00,63.25,152.00,0.00,0,1,0,0,"360
"
254,66.75,46.75,39.75,63.00,63.50,152.00,0.00,0,1,0,0,"360
"
255,67.25,47.00,39.00,63.00,63.25,152.00,0.00,0,1,0,0,"360
"
256,67.25,47.00,39.50,63.00,63.50,152.00,0.00,1,0,0,0,"359
"
257,66.75,46.75,39.00,63.00,63.50,152.00,0.00,1,0,0,0,"359
"
258,67.25,46.50,39.50,63.00,63.75,152.00,0.00,1,0,0,0,"360
"
259,67.00,46.75,39.50,63.25,63.50,152.00,0.00,0,0,0,0,"359
"
260,67.00,46.50,39.00,63.00,63.25,152.00,0.00,0,0,0,0,"359
"
261,67.00,46.25,39.75,63.00,63.00,152.00,0.00,0,1,0,0,"360
"
262,67.50,46.25,39.00,63.00,63.50,152.00,0.00,0,1,1,0,"359
"
263,67.00,46.75,39.50,62.75,63.25,152.00,0.00,0,1,0,0,"358
"
264,67.25,46.00,39.00,63.25,63.75,152.00,0.00,0,1,0,1,"359
"
265,67.50,46.75,39.25,63.00,63.75,152.00,0.00,0,0,0,1,"360
"
266,67.25,46.50,39.25,63.25,63.25,152.00,0.00,0,1,0,0,"360
"
267,67.50,45.75,39.50,63.00,63.75,152.00,0.00,1,1,1,0,"359
"
268,67.50,46.75,39.50,63.50,63.50,152.00,0.00,1,1,0,0,"359
"
269,67.00,46.50,39.00,63.50,63.50,152.00,0.00,0,0,0,1,"357
"
270,67.00,46.75,39.50,63.00,63.50,152.00,0.00,0,0,0,0,"359
"
271,67.50,46.50,39.25,63.00,63.75,152.00,0.00,0,0,0,0,"359
"
272,67.50,46.50,39.50,63.50,63.50,152.00,0.00,0,0,0,1,"358
"
273,67.25,46.50,39.25,62.50,64.25,152.00,0.00,0,0,0,0,"359
"
274,67.75,46.75,39.00,63.50,63.75,152.00,0.00,1,1,0,1,"359
"
275,67.50,46.75,39.50,63.50,64.25,38.25,0.00,1,0,0,1,"359
"
276,67.75,46.25,39.50,63.75,64.25,38.25,0.00,1,0,0,1,"359
"
277,67.25,46.50,39.25,63.50,64.25,37.75,0.00,0,0,0,1,"358
"
278,67.25,46.00,39.50,63.50,64.00,37.75,0.00,0,0,0,1,"358
"
279,67.25,46.50,39.50,63.50,64.00,37.75,0.00,0,1,0,1,"358
"
280,67.75,46.50,39.50,63.25,64.50,37.75,0.00,0,1,1,1,"358
"
281,67.75,46.50,39.00,62.75,64.25,37.75,0.00,0,0,0,1,"358
"
282,67.00,46.75,39.50,63.75,64.50,37.75,0.00,0,1,0,1,"358
"
283,67.25,47.00,39.75,63.75,64.50,37.75,0.00,0,1,0,0,"358
"
284,67.75,178.25,39.50,63.75,63.00,37.75,0.00,0,1,0,1,"358
"
285,67.50,46.50,39.75,63.75,64.75,37.75,0.00,1,0,0,1,"358
"
286,67.25,46.25,39.75,63.00,64.25,37.75,0.00,1,1,0,0,"358
"
287,67.00,262.00,39.00,63.75,63.50,37.75,0.00,1,0,0,0,"358
"
288,66.50,179.25,39.25,63.75,64.00,37.75,0.00,1,0,0,0,"358
"
289,66.50,179.25,39.50,63.75,64.50,37.75,0.00,0,0,0,0,"357
"
290,66.25,179.25,39.25,63.75,64.25,37.75,0.00,0,0,0,0,"357
"
291,66.25,179.25,39.75,63.75,64.00,37.75,0.00,1,0,0,0,"358
"
292,66.00,179.25,39.50,63.75,63.50,37.75,0.00,0,0,0,1,"358
"
293,66.50,949.00,39.25,63.50,64.25,37.75,0.00,0,0,0,0,"359
"
294,67.50,47.00,39.25,63.50,64.75,37.75,0.00,0,0,0,1,"358
"
295,67.25,45.50,39.75,64.25,64.50,37.75,0.00,0,1,0,0,"358
"
296,67.00,45.50,39.50,63.50,64.25,37.75,0.00,0,1,0,0,"359
"
297,67.25,45.75,39.00,64.25,64.50,38.00,0.00,0,1,0,0,"358
"
298,67.25,45.25,39.75,64.00,64.50,38.00,0.00,0,1,0,0,"358
"
299,67.75,45.50,39.50,63.75,64.50,38.00,0.00,0,1,0,0,"358
"
300,66.75,48.00,39.25,63.50,64.75,38.00,0.00,0,1,0,0,"357
"
301,67.50,46.50,39.75,63.75,65.00,38.25,0.00,0,1,0,1,"357
"
302,67.00,47.75,39.50,64.00,64.75,38.00,0.00,0,1,0,1,"356
"
303,66.50,47.50,39.75,64.00,64.50,38.50,0.00,1,0,0,0,"357
"
304,67.75,46.00,39.75,64.00,65.00,37.75,0.00,1,1,0,1,"357
"
305,66.50,46.50,39.75,64.00,65.00,37.75,0.00,1,0,1,1,"357
"
306,67.00,46.25,39.75,64.00,65.00,38.00,0.00,1,0,0,1,"357
"
307,67.50,46.25,39.25,63.75,64.50,38.25,0.00,0,0,0,0,"357
"
308,67.25,47.00,39.50,64.00,64.75,38.25,0.00,0,0,0,0,"357
"
309,67.25,46.00,39.75,64.00,65.00,38.25,0.00,0,0,0,0,"357
"
310,67.50,45.25,39.75,64.25,64.75,37.50,0.00,0,0,0,1,"358
"
311,67.50,45.75,39.00,64.25,65.00,38.25,0.00,0,0,0,0,"358
"
312,67.25,45.25,39.25,63.75,64.50,38.25,0.00,0,0,0,0,"358
"
313,67.50,45.75,39.00,63.75,64.75,37.50,0.00,1,0,0,0,"358
"
314,67.00,45.25,39.50,63.75,64.75,38.25,0.00,0,1,0,0,"357
"
315,67.25,45.25,39.75,64.25,65.00,38.25,0.00,0,0,0,1,"358
"
316,67.00,45.50,39.50,64.00,65.25,38.25,0.00,0,0,0,1,"357
"
317,66.75,45.50,39.50,64.00,65.00,38.25,0.00,0,1,0,0,"358
"
318,67.50,45.50,39.25,64.00,65.25,38.25,0.00,0,1,0,0,"358
"
319,67.00,45.50,39.75,64.50,65.25,38.25,0.00,0,1,0,0,"360
"
320,67.25,45.75,39.75,64.50,65.25,38.50,0.00,1,1,0,0,"359
"
321,67.50,46.25,39.50,64.25,65.50,38.50,0.00,0,1,0,0,"357
"
